# source_md, 贵州茅台/md/clean/贵州茅台2024年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 18/20
# table_index, 17
# report_year, 2024
# title, .按不同类型披露公司主营业务构成
# title_level, 5
# unit, 元币种：人民币
# year_mapping, current=2024,previous=2023,ybp=2022
# row_count, 13
# col_count, 7
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
划分类型,营业收入,同比(%),营业成本,同比(%),毛利率(%),同比(%)
按产品档次,,,,,,
茅台酒,"145,928,075,955.31",15.28,"8,662,079,388.78",16.34,94.06,-0.06
其他系列酒,"24,683,762,096.71",19.65,"4,967,916,424.11",19.00,79.87,0.11
小计,"170,611,838,052.02",15.89,"13,629,995,812.89",17.30,92.01,-0.10
按销售渠道,,,,,,
批发代理,"95,768,511,021.23",19.73,"10,136,042,973.30",18.28,89.42,0.13
直销,"74,843,327,030.79",11.32,"3,493,952,839.59",14.52,95.33,-0.13
小计,"170,611,838,052.02",15.89,"13,629,995,812.89",17.30,92.01,-0.10
按地区分部,,,,,,
国内,"165,423,308,808.24",15.79,"13,226,875,459.60",17.26,92.00,-0.10
国外,"5,188,529,243.78",19.27,"403,120,353.29",18.57,92.23,0.05
小计,"170,611,838,052.02",15.89,"13,629,995,812.89",17.30,92.01,-0.10

