# source_md, 贵州茅台/md/clean/贵州茅台2024年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 4/20
# table_index, 3
# report_year, 2024
# title, . 成本分析表
# title_level, 5
# unit, 元
# year_mapping, current=2024,previous=2023,ybp=2022
# row_count, 10
# col_count, 8
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
分行业情况,,,,,,,
分行业,成本构成项目,本期金额,本期占总成本比例(%),上年同期金额,上年同期占总成本比例(%),本期金额较上年同期变动比例(%),情况说明
酒类,,"13,629,995,812.89",100.00,"11,620,203,653.32",100.00,17.30,
分产品情况,,,,,,,
分产品,成本构成项目,本期金额,本期占总成本比例(%),上年同期金额,上年同期占总成本比例(%),本期金额较上年同期变动比例(%),情况说明
酒类,直接材料,"6,895,320,421.92",50.59,"5,984,160,283.88",51.50,15.23,
酒类,"5,224,448,485.08",38.32,"4,372,013,596.08",37.63,19.50,,
酒类,"776,373,890.79",5.70,"640,613,571.24",5.51,21.19,,
酒类,"422,328,634.52",3.10,"351,386,305.23",3.02,20.19,,
酒类,"311,524,380.58",2.29,"272,029,896.89",2.34,14.52,,
酒类,"13,629,995,812.89",100.00,"11,620,203,653.32",100.00,17.30,,

