# source_md, 贵州茅台/md/clean/贵州茅台2024年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 13/20
# table_index, 12
# report_year, 2024
# title, .采购金额
# title_level, 5
# unit, 万元币种：人民币
# year_mapping, current=2024,previous=2023,ybp=2022
# row_count, 5
# col_count, 4
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
原料类别,当期采购金额,上期采购金额,占当期总采购额的比重(%)
酿酒原材料,"384,290.51","352,140.58",44.75
包装材料,"419,421.77","396,702.84",48.84
能源,"42,323.56","35,724.12",4.92
车间辅助材料,"12,806.32","13,122.59",1.49

