# source_md, 贵州茅台/md/clean/贵州茅台2024年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 1/20
# table_index, 0
# report_year, 2024
# title, 利润表及现金流量表相关科目变动分析表
# title_level, 4
# unit, 元币种：人民币
# year_mapping, current=2024,previous=2023,ybp=2022
# row_count, 10
# col_count, 4
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
科目,本期数,上年同期数,变动比例(%)
营业收入,"170,899,152,276.34","147,693,604,994.14",15.71
营业成本,"13,789,482,367.98","11,867,273,851.78",16.20
销售费用,"5,639,300,059.49","4,648,613,585.82",21.31
管理费用,"9,315,650,060.38","9,729,389,252.31",-4.25
财务费用,"-1,470,219,863.34","-1,789,503,701.48",不适用
研发费用,"218,375,472.87","157,371,873.01",38.76
经营活动产生的现金流量净额,"92,463,692,168.43","66,593,247,721.09",38.85
投资活动产生的现金流量净额,"-1,785,202,630.71","-9,724,414,015.16",不适用
筹资活动产生的现金流量净额,"-71,067,506,484.81","-58,889,101,991.94",不适用

