,2025年,2025年,2025年,2025年,2024年,2024年,2024年,2024年,2023年,2023年,2023年,2023年
项目,2025 年,2024 年,同比增减,重大变动说明,2025 年,2024 年,同比增减,重大变动说明,2025 年,2024 年,同比增减,重大变动说明
研发费用,22146.58,18606.76,19.02%,,18606.76,18356.11,1.37%,,1,835,610.84,1,551,045.35,18.35%,持续加大研发投入，研发费用相应增加
管理费用,11666.74,9689.84,20.40%,,9689.84,8461.82,14.51%,,846,182.43,697,866.94,21.25%,管理费用随业务规模相应增加
财务费用,-7939.86,-4131.92,92.16%,利息支出减少、利息收入增加及持有的外币货币性项目因外币,-4131.92,-4927.70,-16.15%,,-492,769.74,-279,998.58,75.99%,货币资金增加，资金净收益增加
销售费用,3735.12,3562.80,4.84%,,3562.80,3042.74,17.09%,,1,795,444.05,1,109,940.12,61.76%,销售规模增长，计提的售后综合服务费增加
