,2025年,2025年,2025年,2024年,2024年,2024年,2023年,2023年,2023年
项目,2025年,2024年,变动比例,2025年,2024年,变动比例,2025年,2024年,变动比例
30~40岁,9,740,8,830,10.31%,8,830,9,022,-2.13%,9,022,6,818,32.33%
30岁以下,11,837,10,408,13.73%,10,408,10,419,-0.11%,10,419,8,843,17.82%
40岁以上,1,324,1,108,19.49%,1,108,1,163,-4.73%,1,163,661,75.95%
博士,745,573,30.02%,573,361,58.73%,361,264,36.74%
本科,9,418,8,247,14.20%,8,247,7,937,3.91%,7,937,6,699,18.48%
研发人员学历,,,,,,,,,
研发人员年龄构成,,,,,,,,,
研发人员数量占比,12.32%,15.42%,-3.1%,15.42%,17.75%,-2.33%,17.75%,13.73%,4.02%
研发人员数量（人）,22,901,20,346,12.56%,20,346,20,604,-1.25%,20,604,16,322,26.23%
研发投入占营业收入比例,5.23%,5.14%,4.58%,5.14%,4.58%,4.72%,4.58%,4.72%,5.90%
研发投入金额（万元）,-,-,-,-,-,-,1,835,610.84,1,551,045.35,769,142.76
研发投入金额（千元）,22,146,581,18,606,756,18,356,108,18,606,756,18,356,108,15,510,453,-,-,-
硕士,5,242,5,083,3.13%,5,083,3,913,29.90%,3,913,2,852,37.20%
