,2025年,2024年,2023年
项目,指标1,指标1,指标1
前五名供应商合计采购金额占年度采购总额比例,10.38%,16.33%,20.26%
前五名供应商合计采购金额（万元）,-,-,6,082,176.44
前五名供应商合计采购金额（千元）,59,938,203,44,342,120,-
前五名供应商采购额中关联方采购额占年度采购总额比例,0.00%,0.00%,0.00%
前五名客户合计销售金额占年度销售总额比例,38.96%,37.03%,36.78%
前五名客户合计销售金额（万元）,-,-,14,745,899.95
前五名客户合计销售金额（千元）,165061.53,134,064,232,-
前五名客户销售额中关联方销售额占年度销售总额比例,0.00%,0.00%,0.03%
合计,--,59,938,203,10.38%,--,44,342,120,16.33%,--,6,082,176.44,20.26%
