,2025年,2025年,2025年,2025年,2025年,2024年,2024年,2024年,2024年,2024年,2023年,2023年,2023年,2023年,2023年
项目,项目,单位,2025年,2024年,同比增减,项目,单位,2025年,2024年,同比增减,项目,单位,2025年,2024年,同比增减
电池系统,销售量,GWh,661,475,39.16%,GWh,106,70,51.43%,,GWh,70,70,,
