# source_md, 贵州茅台/md/clean/贵州茅台2025年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 20/21
# table_index, 19
# report_year, 2025
# title, 以公允价值计量的金融资产
# title_level, 4
# unit, 元币种：人民币
# year_mapping, current=2025,previous=2024,ybp=2023
# row_count, 3
# col_count, 9
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
资产类别,2024年数,2025年公允价值变动损益,计入权益的累计公允价值变动,2025年计提的减值,2025年购买金额,2025年出售/赎回金额,其他变动,期末数
债券,"248,513,280.00","265,351.99","-11,459,887.71",,"3,929,067,150.00","702,911,294.28","33,064,416.41","3,496,539,016.41"
私募基金,"4,028,978,995.56","76,162,597.66",,,,,,"4,105,141,593.22"
合计,"4,277,492,275.56","76,427,949.65","-11,459,887.71",,"3,929,067,150.00","702,911,294.28","33,064,416.41","7,601,680,609.63"

