# source_md, 贵州茅台/md/clean/贵州茅台2025年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 11/21
# table_index, 10
# report_year, 2025
# title, 产能状况
# title_level, 4
# unit, 万元币种：人民币
# year_mapping, current=2025,previous=2024,ybp=2023
# row_count, 3
# col_count, 4
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
在建产能名称,计划投资金额,报告期内投资金额,累积投资金额
3万吨酱香系列酒技改工程及其配套设施项目,"1,018,000.00","35,642.58","707,713.26"
“十四五”酱香酒习水同民坝一期建设项目,"411,000.00","48,520.12","220,005.39"
茅台酒“十四五”技改建设项目,"1,551,600.00","66,063.42","242,494.96"

