# source_md, 贵州茅台/md/clean/贵州茅台2023年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 13/20
# table_index, 12
# report_year, 2023
# title, .采购金额
# title_level, 5
# unit, 万元币种:人民币
# year_mapping, current=2023,previous=2022,ybp=2021
# row_count, 5
# col_count, 4
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
原料类别,当期采购金额,上期采购金额,占当期总采购额的比重(%)
酿酒原材料,"352,140.58","248,398.92",44.15
包装材料,"396,702.84","290,243.05",49.73
能源,"35,724.12","48,982.94",4.48
车间辅助材料,"13,122.59","6,898.38",1.36

