# source_md, 贵州茅台/md/clean/贵州茅台2023年年报/管理层讨论/05_五、报告期内主要经营情况.md
# table_seq, 7/20
# table_index, 6
# report_year, 2023
# title, 现金流
# title_level, 4
# unit, 元币种：人民币
# year_mapping, current=2023,previous=2022,ybp=2021
# row_count, 17
# col_count, 4
# extracted_at, 2026-06-12T11:49:15
# ============== END HEADER ==============
项目,本期发生额,上期发生额,本期比上年同期增减(%)
△客户存款和同业存放款项净增加额,"-810,223,002.76","-8,916,033,228.67",不适用
收到的税费返还,"1,500,047.04","33,191,912.56",-95.48
购买商品、接受劳务支付的现金,"11,029,476,036.21","8,357,859,151.03",31.97
△客户贷款及垫款净增加额,"-2,051,930,316.19","723,778,672.00",不适用
拆出资金净增加额,"2,500,000,000.00",0.00,不适用
△存放中央银行和同业款项净增加额,"1,570,003,429.01","13,037,761,321.90",-87.96
△支付利息、手续费及佣金的现金,"142,896,151.21","79,226,410.98",80.36
支付其他与经营活动有关的现金,"7,943,709,518.14","5,123,087,432.89",55.06
收回投资收到的现金,"7,549,947,301.15",0.00,不适用
取得投资收益收到的现金,"140,715,000.00","5,880,000.00","2,293.11"
处置固定资产、无形资产和其他长期资产收回的现金净额,"24,948,352.95","355,149.00","6,924.76"
购建固定资产、无形资产和其他长期资产支付的现金,"2,619,755,888.79","5,306,546,416.54",-50.63
投资支付的现金,"14,817,852,800.00","210,000,000.00","6,956.12"
支付其他与投资活动有关的现金,"7,021,867.10","31,486,829.54",-77.70
支付其他与筹资活动有关的现金,"134,315,261.93","54,332,788.37",147.21
汇率变动对现金及现金等价物的影响,"1,718,255.65","911,088.01",88.59

