# source_md_stem, 05_五、报告期内主要经营情况
# sanitized_title, 利润表及现金流量表相关科目变动分析表
# group_key, 05_五、报告期内主要经营情况|利润表及现金流量表相关科目变动分析表
# kind, long
# years, 2023,2024,2025
# column_similarity, 1.0000
# row_jaccard, 1.0000
# merged_at, 2026-06-15T14:48:32
# ============== END HEADER ==============
_row_type,year,source_md_stem,subject,metric,value,unit
data,2023,05_五、报告期内主要经营情况,研发费用,本期数,"157,371,873.01",元币种：人民币
data,2023,05_五、报告期内主要经营情况,筹资活动产生的现金流量净额,上年同期数,"-57,424,528,979.83",元币种：人民币
data,2023,05_五、报告期内主要经营情况,筹资活动产生的现金流量净额,变动比例(%),不适用,元币种：人民币
data,2023,05_五、报告期内主要经营情况,筹资活动产生的现金流量净额,本期数,"-58,889,101,991.94",元币种：人民币
data,2023,05_五、报告期内主要经营情况,管理费用,上年同期数,"9,012,191,073.63",元币种：人民币
data,2023,05_五、报告期内主要经营情况,管理费用,变动比例(%),7.96,元币种：人民币
data,2023,05_五、报告期内主要经营情况,管理费用,本期数,"9,729,389,252.31",元币种：人民币
data,2023,05_五、报告期内主要经营情况,经营活动产生的现金流量净额,上年同期数,"36,698,595,830.03",元币种：人民币
data,2023,05_五、报告期内主要经营情况,经营活动产生的现金流量净额,变动比例(%),81.46,元币种：人民币
data,2023,05_五、报告期内主要经营情况,经营活动产生的现金流量净额,本期数,"66,593,247,721.09",元币种：人民币
data,2023,05_五、报告期内主要经营情况,营业成本,上年同期数,"10,093,468,616.63",元币种：人民币
data,2023,05_五、报告期内主要经营情况,营业成本,变动比例(%),17.57,元币种：人民币
data,2023,05_五、报告期内主要经营情况,营业成本,本期数,"11,867,273,851.78",元币种：人民币
data,2023,05_五、报告期内主要经营情况,营业收入,上年同期数,"124,099,843,771.99",元币种：人民币
data,2023,05_五、报告期内主要经营情况,营业收入,变动比例(%),19.01,元币种：人民币
data,2023,05_五、报告期内主要经营情况,营业收入,本期数,"147,693,604,994.14",元币种：人民币
data,2023,05_五、报告期内主要经营情况,财务费用,上年同期数,"-1,391,805,826.72",元币种：人民币
data,2023,05_五、报告期内主要经营情况,财务费用,变动比例(%),不适用,元币种：人民币
data,2023,05_五、报告期内主要经营情况,财务费用,本期数,"-1,789,503,701.48",元币种：人民币
data,2023,05_五、报告期内主要经营情况,销售费用,上年同期数,"3,297,724,190.94",元币种：人民币
data,2023,05_五、报告期内主要经营情况,销售费用,变动比例(%),40.96,元币种：人民币
data,2023,05_五、报告期内主要经营情况,销售费用,本期数,"4,648,613,585.82",元币种：人民币

